Index,src,snk,sourceOtu,targetOtu,m_width,bandType,sourceDimColors,targetDimColors
1314,1112,1103,59805,59366,24,0,:792-816:960-964,:792-816:960-964
1168,99,90,48999,48560,24,0,:168-192:960-964,:168-192:960-964
1525,1681,1672,102291,101852,24,0,:96-120:960-964,:96-120:960-964
327,892,883,6109,5670,24,0,:144-168:960-964,:144-168:960-964
1012,139,130,51203,50764,24,0,:264-288:960-964,:264-288:960-964
1318,1112,1103,59809,59370,24,0,:888-912:960-964,:888-912:960-964
1327,1599,1351,20739,20300,24,0,:144-168:960-964,:144-168:960-964
569,119,110,50100,49661,24,0,:192-216:960-964,:192-216:960-964
878,1781,1748,30499,30060,24,0,:888-912:960-964,:888-912:960-964
1521,1681,1672,102287,101848,24,0,:0-24:960-964,:0-24:960-964
1642,386,379,78071,77758,24,0,:24-48:960-964,:24-48:960-964
275,872,863,5037,4598,24,0,:816-840:960-964,:816-840:960-964
862,1781,1748,30483,30044,24,0,:504-528:960-964,:504-528:960-964
525,109,100,49546,49107,24,0,:96-120:960-964,:96-120:960-964
823,1092,1083,58694,58255,24,0,:528-552:960-964,:528-552:960-964
1774,39,30,45705,45266,24,0,:312-336:960-964,:312-336:960-964
1547,1681,1672,102313,101874,24,0,:624-648:960-964,:624-648:960-964
1236,1477,1354,16917,16478,24,0,:840-864:960-964,:840-864:960-964
100,832,823,2821,2382,24,0,:456-480:960-964,:456-480:960-964
322,892,883,6104,5665,24,0,:24-48:960-964,:24-48:960-964
1073,79,70,47924,47485,24,0,:768-792:960-964,:768-792:960-964
1846,1875,1823,32667,32228,24,0,:120-144:960-964,:120-144:960-964
205,862,853,4456,4017,24,0,:96-120:960-964,:96-120:960-964
15,812,803,1716,1276,24,0,:336-360:960-964,:336-360:960-964
287,882,873,5559,5120,24,0,:144-168:960-964,:144-168:960-964
357,892,883,6139,5700,24,0,:864-888:960-964,:864-888:960-964
1909,406,397,79198,78759,24,0,:672-696:960-964,:672-696:960-964
1572,1994,1982,37624,37185,24,0,:264-288:960-964,:264-288:960-964
1270,1887,1876,33242,32803,24,0,:696-720:960-964,:696-720:960-964
281,882,873,5553,5114,24,0,:0-24:960-964,:0-24:960-964
606,129,120,50647,50208,24,0,:120-144:960-964,:120-144:960-964
1366,1162,1153,62528,62089,24,0,:120-144:960-964,:120-144:960-964
1039,139,130,51230,50791,24,0,:912-936:960-964,:912-936:960-964
1214,1477,1354,16895,16456,24,0,:312-336:960-964,:312-336:960-964
1459,348,339,76014,75575,24,0,:432-456:960-964,:432-456:960-964
1757,1172,1163,63109,62670,24,0,:864-888:960-964,:864-888:960-964
901,1122,1113,60342,59903,24,0,:480-504:960-964,:480-504:960-964
624,129,120,50665,50226,24,0,:552-576:960-964,:552-576:960-964
1021,139,130,51212,50773,24,0,:480-504:960-964,:480-504:960-964
1751,1172,1163,63103,62664,24,0,:720-744:960-964,:720-744:960-964
1367,1162,1153,62529,62090,24,0,:144-168:960-964,:144-168:960-964
610,129,120,50651,50212,24,0,:216-240:960-964,:216-240:960-964
19,812,803,1720,1280,24,0,:432-456:960-964,:432-456:960-964
43,822,813,2254,1815,24,0,:48-72:960-964,:48-72:960-964
691,1082,1073,58132,57693,24,0,:240-264:960-964,:240-264:960-964
708,1082,1073,58149,57710,24,0,:648-672:960-964,:648-672:960-964
362,9,0,44043,43604,24,0,:24-48:960-964,:24-48:960-964
1116,89,80,48477,48038,24,0,:840-864:960-964,:840-864:960-964
761,1564,1456,16332,15893,24,0,:0-24:960-964,:0-24:960-964
1198,99,90,49029,48590,24,0,:888-912:960-964,:888-912:960-964
272,872,863,5034,4595,24,0,:744-768:960-964,:744-768:960-964
128,842,833,3359,2920,24,0,:168-192:960-964,:168-192:960-964
849,1781,1748,30470,30031,24,0,:192-216:960-964,:192-216:960-964
503,59,50,46814,46375,24,0,:528-552:960-964,:528-552:960-964
137,842,833,3368,2929,24,0,:384-408:960-964,:384-408:960-964
1561,1994,1982,37613,37174,24,0,:0-24:960-964,:0-24:960-964
1086,89,80,48447,48008,24,0,:120-144:960-964,:120-144:960-964
274,872,863,5036,4597,24,0,:792-816:960-964,:792-816:960-964
999,19,10,44630,44191,24,0,:912-936:960-964,:912-936:960-964
337,892,883,6119,5680,24,0,:384-408:960-964,:384-408:960-964
1067,79,70,47918,47479,24,0,:624-648:960-964,:624-648:960-964
1226,1477,1354,16907,16468,24,0,:600-624:960-964,:600-624:960-964
740,1142,1133,61442,61002,24,0,:456-480:960-964,:456-480:960-964
1511,1504,1370,18012,17573,24,0,:720-744:960-964,:720-744:960-964
866,1781,1748,30487,30048,24,0,:600-624:960-964,:600-624:960-964
1369,1162,1153,62531,62092,24,0,:192-216:960-964,:192-216:960-964
1596,1994,1982,37648,37209,24,0,:840-864:960-964,:840-864:960-964
278,872,863,5040,4601,24,0,:888-912:960-964,:888-912:960-964
145,842,833,3376,2937,24,0,:576-600:960-964,:576-600:960-964
626,129,120,50667,50228,24,0,:600-624:960-964,:600-624:960-964
373,9,0,44054,43615,24,0,:288-312:960-964,:288-312:960-964
1635,149,140,51776,51337,24,0,:816-840:960-964,:816-840:960-964
1253,1887,1876,33225,32786,24,0,:288-312:960-964,:288-312:960-964
1584,1994,1982,37636,37197,24,0,:552-576:960-964,:552-576:960-964
177,852,843,3918,3479,24,0,:384-408:960-964,:384-408:960-964
707,1082,1073,58148,57709,24,0,:624-648:960-964,:624-648:960-964
550,109,100,49571,49132,24,0,:696-720:960-964,:696-720:960-964
1175,99,90,49006,48567,24,0,:336-360:960-964,:336-360:960-964
242,872,863,5004,4565,24,0,:24-48:960-964,:24-48:960-964
992,19,10,44623,44184,24,0,:744-768:960-964,:744-768:960-964
1,812,803,1702,1262,24,0,:0-24:960-964,:0-24:960-964
1449,348,339,76004,75565,24,0,:192-216:960-964,:192-216:960-964
40,812,803,1741,1301,24,0,:936-964,:936-964
261,872,863,5023,4584,24,0,:480-504:960-964,:480-504:960-964
594,119,110,50125,49686,24,0,:792-816:960-964,:792-816:960-964
201,862,853,4452,4013,24,0,:0-24:960-964,:0-24:960-964
1361,1162,1153,62523,62084,24,0,:0-24:960-964,:0-24:960-964
1183,99,90,49014,48575,24,0,:528-552:960-964,:528-552:960-964
1031,139,130,51222,50783,24,0,:720-744:960-964,:720-744:960-964
789,1564,1456,16360,15921,24,0,:672-696:960-964,:672-696:960-964
1887,406,397,79176,78737,24,0,:144-168:960-964,:144-168:960-964
788,1564,1456,16359,15920,24,0,:648-672:960-964,:648-672:960-964
480,69,60,47381,46942,24,0,:936-964,:936-964
1595,1994,1982,37647,37208,24,0,:816-840:960-964,:816-840:960-964
1762,39,30,45693,45254,24,0,:24-48:960-964,:24-48:960-964
579,119,110,50110,49671,24,0,:432-456:960-964,:432-456:960-964
1681,1380,1350,21283,20844,24,0,:0-24:960-964,:0-24:960-964
89,832,823,2810,2371,24,0,:192-216:960-964,:192-216:960-964
1708,1380,1350,21310,20871,24,0,:648-672:960-964,:648-672:960-964
1396,1162,1153,62558,62119,24,0,:840-864:960-964,:840-864:960-964
1278,1887,1876,33250,32811,24,0,:888-912:960-964,:888-912:960-964
1452,348,339,76007,75568,24,0,:264-288:960-964,:264-288:960-964
589,119,110,50120,49681,24,0,:672-696:960-964,:672-696:960-964
1919,406,397,79208,78769,24,0,:912-936:960-964,:912-936:960-964
1581,1994,1982,37633,37194,24,0,:480-504:960-964,:480-504:960-964
180,852,843,3921,3482,24,0,:456-480:960-964,:456-480:960-964
805,1092,1083,58676,58237,24,0,:96-120:960-964,:96-120:960-964
832,1092,1083,58703,58264,24,0,:744-768:960-964,:744-768:960-964
1655,386,379,78084,77771,24,0,:336-360:960-964,:336-360:960-964
1439,29,20,45180,44741,24,0,:912-936:960-964,:912-936:960-964
1340,1599,1351,20752,20313,24,0,:456-480:960-964,:456-480:960-964
1534,1681,1672,102300,101861,24,0,:312-336:960-964,:312-336:960-964
1752,1172,1163,63104,62665,24,0,:744-768:960-964,:744-768:960-964
867,1781,1748,30488,30049,24,0,:624-648:960-964,:624-648:960-964
1160,1403,1360,15821,15382,24,0,:936-964,:936-964
993,19,10,44624,44185,24,0,:768-792:960-964,:768-792:960-964
1615,149,140,51756,51317,24,0,:336-360:960-964,:336-360:960-964
1300,1112,1103,59791,59352,24,0,:456-480:960-964,:456-480:960-964
1822,318,309,74366,73927,24,0,:504-528:960-964,:504-528:960-964
947,396,387,78646,78207,24,0,:624-648:960-964,:624-648:960-964
276,872,863,5038,4599,24,0,:840-864:960-964,:840-864:960-964
324,892,883,6106,5667,24,0,:72-96:960-964,:72-96:960-964
1443,348,339,75998,75559,24,0,:48-72:960-964,:48-72:960-964
455,69,60,47356,46917,24,0,:336-360:960-964,:336-360:960-964
998,19,10,44629,44190,24,0,:888-912:960-964,:888-912:960-964
1103,89,80,48464,48025,24,0,:528-552:960-964,:528-552:960-964
1683,1380,1350,21285,20846,24,0,:48-72:960-964,:48-72:960-964
884,1122,1113,60325,59886,24,0,:72-96:960-964,:72-96:960-964
1566,1994,1982,37618,37179,24,0,:120-144:960-964,:120-144:960-964
816,1092,1083,58687,58248,24,0,:360-384:960-964,:360-384:960-964
1468,348,339,76023,75584,24,0,:648-672:960-964,:648-672:960-964
806,1092,1083,58677,58238,24,0,:120-144:960-964,:120-144:960-964
411,49,40,46252,45813,24,0,:240-264:960-964,:240-264:960-964
1020,139,130,51211,50772,24,0,:456-480:960-964,:456-480:960-964
125,842,833,3356,2917,24,0,:96-120:960-964,:96-120:960-964
1507,1504,1370,18008,17569,24,0,:624-648:960-964,:624-648:960-964
711,1082,1073,58152,57713,24,0,:720-744:960-964,:720-744:960-964
1621,149,140,51762,51323,24,0,:480-504:960-964,:480-504:960-964
1879,1875,1823,32700,32261,24,0,:912-936:960-964,:912-936:960-964
1580,1994,1982,37632,37193,24,0,:456-480:960-964,:456-480:960-964
1814,318,309,74358,73919,24,0,:312-336:960-964,:312-336:960-964
1301,1112,1103,59792,59353,24,0,:480-504:960-964,:480-504:960-964
1562,1994,1982,37614,37175,24,0,:24-48:960-964,:24-48:960-964
1351,1599,1351,20763,20324,24,0,:720-744:960-964,:720-744:960-964
822,1092,1083,58693,58254,24,0,:504-528:960-964,:504-528:960-964
158,842,833,3389,2950,24,0,:888-912:960-964,:888-912:960-964
654,1448,1443,18545,18106,24,0,:312-336:960-964,:312-336:960-964
1668,386,379,78097,77784,24,0,:648-672:960-964,:648-672:960-964
1129,1403,1360,15790,15351,24,0,:192-216:960-964,:192-216:960-964
1502,1504,1370,18003,17564,24,0,:504-528:960-964,:504-528:960-964
418,49,40,46259,45820,24,0,:408-432:960-964,:408-432:960-964
1117,89,80,48478,48039,24,0,:864-888:960-964,:864-888:960-964
1913,406,397,79202,78763,24,0,:768-792:960-964,:768-792:960-964
490,59,50,46801,46362,24,0,:216-240:960-964,:216-240:960-964
1138,1403,1360,15799,15360,24,0,:408-432:960-964,:408-432:960-964
961,19,10,44592,44153,24,0,:0-24:960-964,:0-24:960-964
1313,1112,1103,59804,59365,24,0,:768-792:960-964,:768-792:960-964
1678,386,379,78107,77794,24,0,:888-912:960-964,:888-912:960-964
356,892,883,6138,5699,24,0,:840-864:960-964,:840-864:960-964
486,59,50,46797,46358,24,0,:120-144:960-964,:120-144:960-964
1187,99,90,49018,48579,24,0,:624-648:960-964,:624-648:960-964
1089,89,80,48450,48011,24,0,:192-216:960-964,:192-216:960-964
1311,1112,1103,59802,59363,24,0,:720-744:960-964,:720-744:960-964
333,892,883,6115,5676,24,0,:288-312:960-964,:288-312:960-964
514,59,50,46825,46386,24,0,:792-816:960-964,:792-816:960-964
1121,1403,1360,15782,15343,24,0,:0-24:960-964,:0-24:960-964
1389,1162,1153,62551,62112,24,0,:672-696:960-964,:672-696:960-964
1747,1172,1163,63099,62660,24,0,:624-648:960-964,:624-648:960-964
1824,318,309,74368,73929,24,0,:552-576:960-964,:552-576:960-964
517,59,50,46828,46389,24,0,:864-888:960-964,:864-888:960-964
390,9,0,44071,43632,24,0,:696-720:960-964,:696-720:960-964
976,19,10,44607,44168,24,0,:360-384:960-964,:360-384:960-964
508,59,50,46819,46380,24,0,:648-672:960-964,:648-672:960-964
1135,1403,1360,15796,15357,24,0,:336-360:960-964,:336-360:960-964
1609,149,140,51750,51311,24,0,:192-216:960-964,:192-216:960-964
102,832,823,2823,2384,24,0,:504-528:960-964,:504-528:960-964
1295,1112,1103,59786,59347,24,0,:336-360:960-964,:336-360:960-964
882,1122,1113,60323,59884,24,0,:24-48:960-964,:24-48:960-964
1299,1112,1103,59790,59351,24,0,:432-456:960-964,:432-456:960-964
1583,1994,1982,37635,37196,24,0,:528-552:960-964,:528-552:960-964
493,59,50,46804,46365,24,0,:288-312:960-964,:288-312:960-964
280,872,863,5042,4603,24,0,:936-964,:936-964
463,69,60,47364,46925,24,0,:528-552:960-964,:528-552:960-964
930,396,387,78629,78190,24,0,:216-240:960-964,:216-240:960-964
235,862,853,4486,4047,24,0,:816-840:960-964,:816-840:960-964
1700,1380,1350,21302,20863,24,0,:456-480:960-964,:456-480:960-964
325,892,883,6107,5668,24,0,:96-120:960-964,:96-120:960-964
890,1122,1113,60331,59892,24,0,:216-240:960-964,:216-240:960-964
850,1781,1748,30471,30032,24,0,:216-240:960-964,:216-240:960-964
1223,1477,1354,16904,16465,24,0,:528-552:960-964,:528-552:960-964
170,852,843,3911,3472,24,0,:216-240:960-964,:216-240:960-964
443,69,60,47344,46905,24,0,:48-72:960-964,:48-72:960-964
397,9,0,44078,43639,24,0,:864-888:960-964,:864-888:960-964
1918,406,397,79207,78768,24,0,:888-912:960-964,:888-912:960-964
732,1142,1133,61434,60994,24,0,:264-288:960-964,:264-288:960-964
1450,348,339,76005,75566,24,0,:216-240:960-964,:216-240:960-964
1271,1887,1876,33243,32804,24,0,:720-744:960-964,:720-744:960-964
1863,1875,1823,32684,32245,24,0,:528-552:960-964,:528-552:960-964
669,1448,1443,18560,18121,24,0,:672-696:960-964,:672-696:960-964
841,1781,1748,30462,30023,24,0,:0-24:960-964,:0-24:960-964
1867,1875,1823,32688,32249,24,0,:624-648:960-964,:624-648:960-964
1100,89,80,48461,48022,24,0,:456-480:960-964,:456-480:960-964
1027,139,130,51218,50779,24,0,:624-648:960-964,:624-648:960-964
68,822,813,2279,1840,24,0,:648-672:960-964,:648-672:960-964
1910,406,397,79199,78760,24,0,:696-720:960-964,:696-720:960-964
1838,318,309,74382,73943,24,0,:888-912:960-964,:888-912:960-964
1454,348,339,76009,75570,24,0,:312-336:960-964,:312-336:960-964
210,862,853,4461,4022,24,0,:216-240:960-964,:216-240:960-964
343,892,883,6125,5686,24,0,:528-552:960-964,:528-552:960-964
1493,1504,1370,17994,17555,24,0,:288-312:960-964,:288-312:960-964
741,1142,1133,61443,61003,24,0,:480-504:960-964,:480-504:960-964
687,1082,1073,58128,57689,24,0,:144-168:960-964,:144-168:960-964
653,1448,1443,18544,18105,24,0,:288-312:960-964,:288-312:960-964
1006,139,130,51197,50758,24,0,:120-144:960-964,:120-144:960-964
245,872,863,5007,4568,24,0,:96-120:960-964,:96-120:960-964
336,892,883,6118,5679,24,0,:360-384:960-964,:360-384:960-964
1411,29,20,45152,44713,24,0,:240-264:960-964,:240-264:960-964
598,119,110,50129,49690,24,0,:888-912:960-964,:888-912:960-964
910,1122,1113,60351,59912,24,0,:696-720:960-964,:696-720:960-964
828,1092,1083,58699,58260,24,0,:648-672:960-964,:648-672:960-964
1307,1112,1103,59798,59359,24,0,:624-648:960-964,:624-648:960-964
1109,89,80,48470,48031,24,0,:672-696:960-964,:672-696:960-964
284,882,873,5556,5117,24,0,:72-96:960-964,:72-96:960-964
1818,318,309,74362,73923,24,0,:408-432:960-964,:408-432:960-964
896,1122,1113,60337,59898,24,0,:360-384:960-964,:360-384:960-964
1045,79,70,47896,47457,24,0,:96-120:960-964,:96-120:960-964
794,1564,1456,16365,15926,24,0,:792-816:960-964,:792-816:960-964
259,872,863,5021,4582,24,0,:432-456:960-964,:432-456:960-964
1279,1887,1876,33251,32812,24,0,:912-936:960-964,:912-936:960-964
1830,318,309,74374,73935,24,0,:696-720:960-964,:696-720:960-964
674,1448,1443,18565,18126,24,0,:792-816:960-964,:792-816:960-964
1669,386,379,78098,77785,24,0,:672-696:960-964,:672-696:960-964
1786,39,30,45717,45278,24,0,:600-624:960-964,:600-624:960-964
1359,1599,1351,20771,20332,24,0,:912-936:960-964,:912-936:960-964
378,9,0,44059,43620,24,0,:408-432:960-964,:408-432:960-964
1234,1477,1354,16915,16476,24,0,:792-816:960-964,:792-816:960-964
1848,1875,1823,32669,32230,24,0,:168-192:960-964,:168-192:960-964
1166,99,90,48997,48558,24,0,:120-144:960-964,:120-144:960-964
953,396,387,78652,78213,24,0,:768-792:960-964,:768-792:960-964
663,1448,1443,18554,18115,24,0,:528-552:960-964,:528-552:960-964
1335,1599,1351,20747,20308,24,0,:336-360:960-964,:336-360:960-964
116,832,823,2837,2398,24,0,:840-864:960-964,:840-864:960-964
1208,1477,1354,16889,16450,24,0,:168-192:960-964,:168-192:960-964
1247,1887,1876,33219,32780,24,0,:144-168:960-964,:144-168:960-964
1167,99,90,48998,48559,24,0,:144-168:960-964,:144-168:960-964
196,852,843,3937,3498,24,0,:840-864:960-964,:840-864:960-964
157,842,833,3388,2949,24,0,:864-888:960-964,:864-888:960-964
1153,1403,1360,15814,15375,24,0,:768-792:960-964,:768-792:960-964
198,852,843,3939,3500,24,0,:888-912:960-964,:888-912:960-964
50,822,813,2261,1822,24,0,:216-240:960-964,:216-240:960-964
736,1142,1133,61438,60998,24,0,:360-384:960-964,:360-384:960-964
1446,348,339,76001,75562,24,0,:120-144:960-964,:120-144:960-964
1421,29,20,45162,44723,24,0,:480-504:960-964,:480-504:960-964
377,9,0,44058,43619,24,0,:384-408:960-964,:384-408:960-964
1275,1887,1876,33247,32808,24,0,:816-840:960-964,:816-840:960-964
1578,1994,1982,37630,37191,24,0,:408-432:960-964,:408-432:960-964
897,1122,1113,60338,59899,24,0,:384-408:960-964,:384-408:960-964
1559,1681,1672,102325,101886,24,0,:912-936:960-964,:912-936:960-964
104,832,823,2825,2386,24,0,:552-576:960-964,:552-576:960-964
1292,1112,1103,59783,59344,24,0,:264-288:960-964,:264-288:960-964
1108,89,80,48469,48030,24,0,:648-672:960-964,:648-672:960-964
964,19,10,44595,44156,24,0,:72-96:960-964,:72-96:960-964
1842,1875,1823,32663,32224,24,0,:24-48:960-964,:24-48:960-964
1597,1994,1982,37649,37210,24,0,:864-888:960-964,:864-888:960-964
1586,1994,1982,37638,37199,24,0,:600-624:960-964,:600-624:960-964
717,1082,1073,58158,57719,24,0,:864-888:960-964,:864-888:960-964
548,109,100,49569,49130,24,0,:648-672:960-964,:648-672:960-964
1480,348,339,76035,75596,24,0,:936-964,:936-964
833,1092,1083,58704,58265,24,0,:768-792:960-964,:768-792:960-964
1865,1875,1823,32686,32247,24,0,:576-600:960-964,:576-600:960-964
1763,39,30,45694,45255,24,0,:48-72:960-964,:48-72:960-964
1280,1887,1876,33252,32813,24,0,:936-964,:936-964
1091,89,80,48452,48013,24,0,:240-264:960-964,:240-264:960-964
1290,1112,1103,59781,59342,24,0,:216-240:960-964,:216-240:960-964
266,872,863,5028,4589,24,0,:600-624:960-964,:600-624:960-964
1206,1477,1354,16887,16448,24,0,:120-144:960-964,:120-144:960-964
872,1781,1748,30493,30054,24,0,:744-768:960-964,:744-768:960-964
1398,1162,1153,62560,62121,24,0,:888-912:960-964,:888-912:960-964
868,1781,1748,30489,30050,24,0,:648-672:960-964,:648-672:960-964
969,19,10,44600,44161,24,0,:192-216:960-964,:192-216:960-964
420,49,40,46261,45822,24,0,:456-480:960-964,:456-480:960-964
601,129,120,50642,50203,24,0,:0-24:960-964,:0-24:960-964
743,1142,1133,61445,61005,24,0,:528-552:960-964,:528-552:960-964
416,49,40,46257,45818,24,0,:360-384:960-964,:360-384:960-964
1631,149,140,51772,51333,24,0,:720-744:960-964,:720-744:960-964
938,396,387,78637,78198,24,0,:408-432:960-964,:408-432:960-964
185,852,843,3926,3487,24,0,:576-600:960-964,:576-600:960-964
392,9,0,44073,43634,24,0,:744-768:960-964,:744-768:960-964
1485,1504,1370,17986,17547,24,0,:96-120:960-964,:96-120:960-964
825,1092,1083,58696,58257,24,0,:576-600:960-964,:576-600:960-964
916,1122,1113,60357,59918,24,0,:840-864:960-964,:840-864:960-964
971,19,10,44602,44163,24,0,:240-264:960-964,:240-264:960-964
26,812,803,1727,1287,24,0,:600-624:960-964,:600-624:960-964
472,69,60,47373,46934,24,0,:744-768:960-964,:744-768:960-964
269,872,863,5031,4592,24,0,:672-696:960-964,:672-696:960-964
23,812,803,1724,1284,24,0,:528-552:960-964,:528-552:960-964
1013,139,130,51204,50765,24,0,:288-312:960-964,:288-312:960-964
531,109,100,49552,49113,24,0,:240-264:960-964,:240-264:960-964
1460,348,339,76015,75576,24,0,:456-480:960-964,:456-480:960-964
304,882,873,5576,5137,24,0,:552-576:960-964,:552-576:960-964
1894,406,397,79183,78744,24,0,:312-336:960-964,:312-336:960-964
181,852,843,3922,3483,24,0,:480-504:960-964,:480-504:960-964
234,862,853,4485,4046,24,0,:792-816:960-964,:792-816:960-964
793,1564,1456,16364,15925,24,0,:768-792:960-964,:768-792:960-964
1258,1887,1876,33230,32791,24,0,:408-432:960-964,:408-432:960-964
786,1564,1456,16357,15918,24,0,:600-624:960-964,:600-624:960-964
963,19,10,44594,44155,24,0,:48-72:960-964,:48-72:960-964
256,872,863,5018,4579,24,0,:360-384:960-964,:360-384:960-964
845,1781,1748,30466,30027,24,0,:96-120:960-964,:96-120:960-964
1712,1380,1350,21314,20875,24,0,:744-768:960-964,:744-768:960-964
547,109,100,49568,49129,24,0,:624-648:960-964,:624-648:960-964
476,69,60,47377,46938,24,0,:840-864:960-964,:840-864:960-964
265,872,863,5027,4588,24,0,:576-600:960-964,:576-600:960-964
1157,1403,1360,15818,15379,24,0,:864-888:960-964,:864-888:960-964
1715,1380,1350,21317,20878,24,0,:816-840:960-964,:816-840:960-964
549,109,100,49570,49131,24,0,:672-696:960-964,:672-696:960-964
138,842,833,3369,2930,24,0,:408-432:960-964,:408-432:960-964
623,129,120,50664,50225,24,0,:528-552:960-964,:528-552:960-964
129,842,833,3360,2921,24,0,:192-216:960-964,:192-216:960-964
1682,1380,1350,21284,20845,24,0,:24-48:960-964,:24-48:960-964
807,1092,1083,58678,58239,24,0,:144-168:960-964,:144-168:960-964
1256,1887,1876,33228,32789,24,0,:360-384:960-964,:360-384:960-964
244,872,863,5006,4567,24,0,:72-96:960-964,:72-96:960-964
1780,39,30,45711,45272,24,0,:456-480:960-964,:456-480:960-964
1068,79,70,47919,47480,24,0,:648-672:960-964,:648-672:960-964
1383,1162,1153,62545,62106,24,0,:528-552:960-964,:528-552:960-964
428,49,40,46269,45830,24,0,:648-672:960-964,:648-672:960-964
565,119,110,50096,49657,24,0,:96-120:960-964,:96-120:960-964
1019,139,130,51210,50771,24,0,:432-456:960-964,:432-456:960-964
60,822,813,2271,1832,24,0,:456-480:960-964,:456-480:960-964
798,1564,1456,16369,15930,24,0,:888-912:960-964,:888-912:960-964
69,822,813,2280,1841,24,0,:672-696:960-964,:672-696:960-964
735,1142,1133,61437,60997,24,0,:336-360:960-964,:336-360:960-964
1408,29,20,45149,44710,24,0,:168-192:960-964,:168-192:960-964
1005,139,130,51196,50757,24,0,:96-120:960-964,:96-120:960-964
1124,1403,1360,15785,15346,24,0,:72-96:960-964,:72-96:960-964
1527,1681,1672,102293,101854,24,0,:144-168:960-964,:144-168:960-964
1433,29,20,45174,44735,24,0,:768-792:960-964,:768-792:960-964
1330,1599,1351,20742,20303,24,0,:216-240:960-964,:216-240:960-964
243,872,863,5005,4566,24,0,:48-72:960-964,:48-72:960-964
447,69,60,47348,46909,24,0,:144-168:960-964,:144-168:960-964
