OMS,omsId,remoteOmsId,src,snk,cost,distance,ots,osnr,slice,colors,sorted_omsId,sorted_remoteOmsId
OMS,4631,4745,11,22,100001,100,1,0.000776,6250,,4631,4745
OMS,4632,4728,11,21,100001,100,1,0.000776,6250,,4632,4728
OMS,4633,4719,11,20,100001,100,1,0.000776,6250,:0-960,4633,4719
OMS,4646,4657,12,13,100001,100,1,0.000776,6250,:0-960,4646,4657
OMS,4641,4755,12,23,100001,100,1,0.000776,6250,,4641,4755
OMS,4642,4738,12,22,100001,100,1,0.000776,6250,,4642,4738
OMS,4643,4729,12,21,100001,100,1,0.000776,6250,:0-960,4643,4729
OMS,4656,4667,13,14,100001,100,1,0.000776,6250,:0-960,4656,4667
OMS,4651,4765,13,24,100001,100,1,0.000776,6250,,4651,4765
OMS,4652,4748,13,23,100001,100,1,0.000776,6250,,4652,4748
OMS,4653,4739,13,22,100001,100,1,0.000776,6250,:0-960,4653,4739
OMS,4666,4677,14,15,100001,100,1,0.000776,6250,:0-960,4666,4677
OMS,4661,4775,14,25,100001,100,1,0.000776,6250,,4661,4775
OMS,4662,4758,14,24,100001,100,1,0.000776,6250,,4662,4758
OMS,4663,4749,14,23,100001,100,1,0.000776,6250,:0-960,4663,4749
OMS,4676,4687,15,16,100001,100,1,0.000776,6250,:0-960,4676,4687
OMS,4671,4785,15,26,100001,100,1,0.000776,6250,,4671,4785
OMS,4672,4768,15,25,100001,100,1,0.000776,6250,,4672,4768
OMS,4673,4759,15,24,100001,100,1,0.000776,6250,:0-960,4673,4759
OMS,4686,4697,16,17,100001,100,1,0.000776,6250,:0-960,4686,4697
OMS,4681,4795,16,27,100001,100,1,0.000776,6250,,4681,4795
OMS,4682,4778,16,26,100001,100,1,0.000776,6250,,4682,4778
OMS,4683,4769,16,25,100001,100,1,0.000776,6250,:0-960,4683,4769
OMS,4696,4707,17,18,100001,100,1,0.000776,6250,:0-960,4696,4707
OMS,4691,4805,17,28,100001,100,1,0.000776,6250,,4691,4805
OMS,4692,4788,17,27,100001,100,1,0.000776,6250,,4692,4788
OMS,4693,4779,17,26,100001,100,1,0.000776,6250,:0-960,4693,4779
OMS,4706,4717,18,19,100001,100,1,0.000776,6250,:0-960,4706,4717
OMS,4701,4815,18,29,100001,100,1,0.000776,6250,,4701,4815
OMS,4702,4798,18,28,100001,100,1,0.000776,6250,,4702,4798
OMS,4703,4789,18,27,100001,100,1,0.000776,6250,:0-960,4703,4789
OMS,4709,1621,19,1456,1,100,1,0.000776,6250,:0-964,1621,4709
OMS,4712,4808,19,29,100001,100,1,0.000776,6250,,4712,4808
OMS,4713,4799,19,28,100001,100,1,0.000776,6250,:0-960,4713,4799
OMS,4726,4737,20,21,100001,100,1,0.000776,6250,:0-960,4726,4737
OMS,4721,4835,20,31,100001,100,1,0.000776,6250,,4721,4835
OMS,4722,4818,20,30,100001,100,1,0.000776,6250,:0-960,4722,4818
OMS,4736,4747,21,22,100001,100,1,0.000776,6250,:0-960,4736,4747
OMS,4731,4845,21,32,100001,100,1,0.000776,6250,,4731,4845
OMS,4732,4828,21,31,100001,100,1,0.000776,6250,,4732,4828
OMS,4733,4819,21,30,100001,100,1,0.000776,6250,:0-960,4733,4819
OMS,4746,4757,22,23,100001,100,1,0.000776,6250,:0-960,4746,4757
OMS,4741,4855,22,33,100001,100,1,0.000776,6250,,4741,4855
OMS,4742,4838,22,32,100001,100,1,0.000776,6250,,4742,4838
OMS,4743,4829,22,31,100001,100,1,0.000776,6250,:0-960,4743,4829
OMS,4756,4767,23,24,100001,100,1,0.000776,6250,:0-960,4756,4767
OMS,4751,4865,23,34,100001,100,1,0.000776,6250,,4751,4865
OMS,4752,4848,23,33,100001,100,1,0.000776,6250,,4752,4848
OMS,4753,4839,23,32,100001,100,1,0.000776,6250,:0-960,4753,4839
OMS,4766,4777,24,25,100001,100,1,0.000776,6250,:0-960,4766,4777
OMS,4761,4875,24,35,100001,100,1,0.000776,6250,,4761,4875
OMS,4762,4858,24,34,100001,100,1,0.000776,6250,,4762,4858
OMS,4763,4849,24,33,100001,100,1,0.000776,6250,:0-960,4763,4849
OMS,4776,4787,25,26,100001,100,1,0.000776,6250,:0-960,4776,4787
OMS,4771,4885,25,36,100001,100,1,0.000776,6250,,4771,4885
OMS,4772,4868,25,35,100001,100,1,0.000776,6250,,4772,4868
OMS,4773,4859,25,34,100001,100,1,0.000776,6250,:0-960,4773,4859
OMS,4786,4797,26,27,100001,100,1,0.000776,6250,:0-960,4786,4797
OMS,4781,4895,26,37,100001,100,1,0.000776,6250,,4781,4895
OMS,4782,4878,26,36,100001,100,1,0.000776,6250,,4782,4878
OMS,4783,4869,26,35,100001,100,1,0.000776,6250,:0-960,4783,4869
OMS,4796,4807,27,28,100001,100,1,0.000776,6250,:0-960,4796,4807
OMS,4791,4905,27,38,100001,100,1,0.000776,6250,,4791,4905
OMS,4792,4888,27,37,100001,100,1,0.000776,6250,,4792,4888
OMS,4793,4879,27,36,100001,100,1,0.000776,6250,:0-960,4793,4879
OMS,4806,4817,28,29,100001,100,1,0.000776,6250,:0-960,4806,4817
OMS,4801,4915,28,39,100001,100,1,0.000776,6250,,4801,4915
OMS,4802,4898,28,38,100001,100,1,0.000776,6250,,4802,4898
OMS,4803,4889,28,37,100001,100,1,0.000776,6250,:0-960,4803,4889
OMS,4809,1721,29,1354,1,100,1,0.000776,6250,:0-964,1721,4809
OMS,4812,4908,29,39,100001,100,1,0.000776,6250,,4812,4908
OMS,4813,4899,29,38,100001,100,1,0.000776,6250,:0-960,4813,4899
OMS,4826,4837,30,31,100001,100,1,0.000776,6250,:0-960,4826,4837
OMS,4821,4935,30,41,100001,100,1,0.000776,6250,,4821,4935
OMS,4822,4918,30,40,100001,100,1,0.000776,6250,:0-960,4822,4918
OMS,4836,4847,31,32,100001,100,1,0.000776,6250,:0-960,4836,4847
OMS,4831,4945,31,42,100001,100,1,0.000776,6250,,4831,4945
OMS,4832,4928,31,41,100001,100,1,0.000776,6250,,4832,4928
OMS,4833,4919,31,40,100001,100,1,0.000776,6250,:0-960,4833,4919
OMS,4846,4857,32,33,100001,100,1,0.000776,6250,:0-960,4846,4857
OMS,4841,4955,32,43,100001,100,1,0.000776,6250,,4841,4955
OMS,4842,4938,32,42,100001,100,1,0.000776,6250,,4842,4938
OMS,4843,4929,32,41,100001,100,1,0.000776,6250,:0-960,4843,4929
OMS,4856,4867,33,34,100001,100,1,0.000776,6250,:0-960,4856,4867
OMS,4851,4965,33,44,100001,100,1,0.000776,6250,,4851,4965
OMS,4852,4948,33,43,100001,100,1,0.000776,6250,,4852,4948
OMS,4853,4939,33,42,100001,100,1,0.000776,6250,:0-960,4853,4939
OMS,4866,4877,34,35,100001,100,1,0.000776,6250,:0-960,4866,4877
OMS,4861,4975,34,45,100001,100,1,0.000776,6250,,4861,4975
OMS,4862,4958,34,44,100001,100,1,0.000776,6250,,4862,4958
OMS,4863,4949,34,43,100001,100,1,0.000776,6250,:0-960,4863,4949
OMS,4876,4887,35,36,100001,100,1,0.000776,6250,:0-960,4876,4887
OMS,4871,4985,35,46,100001,100,1,0.000776,6250,,4871,4985
OMS,4872,4968,35,45,100001,100,1,0.000776,6250,,4872,4968
OMS,4873,4959,35,44,100001,100,1,0.000776,6250,:0-960,4873,4959
OMS,4886,4897,36,37,100001,100,1,0.000776,6250,:0-960,4886,4897
OMS,4881,4995,36,47,100001,100,1,0.000776,6250,,4881,4995
OMS,4882,4978,36,46,100001,100,1,0.000776,6250,,4882,4978
OMS,4883,4969,36,45,100001,100,1,0.000776,6250,:0-960,4883,4969
OMS,4896,4907,37,38,100001,100,1,0.000776,6250,:0-960,4896,4907
OMS,4891,5005,37,48,100001,100,1,0.000776,6250,,4891,5005
OMS,4892,4988,37,47,100001,100,1,0.000776,6250,,4892,4988
OMS,4893,4979,37,46,100001,100,1,0.000776,6250,:0-960,4893,4979
OMS,4906,4917,38,39,100001,100,1,0.000776,6250,:0-960,4906,4917
OMS,4901,5015,38,49,100001,100,1,0.000776,6250,,4901,5015
OMS,4902,4998,38,48,100001,100,1,0.000776,6250,,4902,4998
OMS,4903,4989,38,47,100001,100,1,0.000776,6250,:0-960,4903,4989
OMS,4909,1821,39,1483,1,100,1,0.000776,6250,:0-964,1821,4909
OMS,4912,5008,39,49,100001,100,1,0.000776,6250,,4912,5008
OMS,4913,4999,39,48,100001,100,1,0.000776,6250,:0-960,4913,4999
OMS,4926,4937,40,41,100001,100,1,0.000776,6250,:0-960,4926,4937
OMS,4921,5035,40,51,100001,100,1,0.000776,6250,,4921,5035
OMS,4922,5018,40,50,100001,100,1,0.000776,6250,:0-960,4922,5018
OMS,4936,4947,41,42,100001,100,1,0.000776,6250,:0-960,4936,4947
OMS,4931,5045,41,52,100001,100,1,0.000776,6250,,4931,5045
OMS,4932,5028,41,51,100001,100,1,0.000776,6250,,4932,5028
OMS,4933,5019,41,50,100001,100,1,0.000776,6250,:0-960,4933,5019
OMS,4946,4957,42,43,100001,100,1,0.000776,6250,:0-960,4946,4957
OMS,4941,5055,42,53,100001,100,1,0.000776,6250,,4941,5055
OMS,4942,5038,42,52,100001,100,1,0.000776,6250,,4942,5038
OMS,4943,5029,42,51,100001,100,1,0.000776,6250,:0-960,4943,5029
OMS,4956,4967,43,44,100001,100,1,0.000776,6250,:0-960,4956,4967
OMS,4951,5065,43,54,100001,100,1,0.000776,6250,,4951,5065
OMS,4952,5048,43,53,100001,100,1,0.000776,6250,,4952,5048
OMS,4953,5039,43,52,100001,100,1,0.000776,6250,:0-960,4953,5039
OMS,4966,4977,44,45,100001,100,1,0.000776,6250,:0-960,4966,4977
OMS,4961,5075,44,55,100001,100,1,0.000776,6250,,4961,5075
OMS,4962,5058,44,54,100001,100,1,0.000776,6250,,4962,5058
OMS,4963,5049,44,53,100001,100,1,0.000776,6250,:0-960,4963,5049
OMS,4976,4987,45,46,100001,100,1,0.000776,6250,:0-960,4976,4987
OMS,4971,5085,45,56,100001,100,1,0.000776,6250,,4971,5085
OMS,4972,5068,45,55,100001,100,1,0.000776,6250,,4972,5068
OMS,4973,5059,45,54,100001,100,1,0.000776,6250,:0-960,4973,5059
OMS,4986,4997,46,47,100001,100,1,0.000776,6250,:0-960,4986,4997
OMS,4981,5095,46,57,100001,100,1,0.000776,6250,,4981,5095
OMS,4982,5078,46,56,100001,100,1,0.000776,6250,,4982,5078
OMS,4983,5069,46,55,100001,100,1,0.000776,6250,:0-960,4983,5069
OMS,4996,5007,47,48,100001,100,1,0.000776,6250,:0-960,4996,5007
OMS,4991,5105,47,58,100001,100,1,0.000776,6250,,4991,5105
OMS,4992,5088,47,57,100001,100,1,0.000776,6250,,4992,5088
OMS,4993,5079,47,56,100001,100,1,0.000776,6250,:0-960,4993,5079
OMS,5006,5017,48,49,100001,100,1,0.000776,6250,:0-960,5006,5017
OMS,5001,5115,48,59,100001,100,1,0.000776,6250,,5001,5115
OMS,5002,5098,48,58,100001,100,1,0.000776,6250,,5002,5098
OMS,5003,5089,48,57,100001,100,1,0.000776,6250,:0-960,5003,5089
OMS,5009,1921,49,1370,1,100,1,0.000776,6250,:0-964,1921,5009
OMS,5012,5108,49,59,100001,100,1,0.000776,6250,,5012,5108
OMS,5013,5099,49,58,100001,100,1,0.000776,6250,:0-960,5013,5099
OMS,5026,5037,50,51,100001,100,1,0.000776,6250,:0-960,5026,5037
OMS,5021,5135,50,61,100001,100,1,0.000776,6250,,5021,5135
OMS,5022,5118,50,60,100001,100,1,0.000776,6250,:0-960,5022,5118
OMS,5036,5047,51,52,100001,100,1,0.000776,6250,:0-960,5036,5047
OMS,5031,5145,51,62,100001,100,1,0.000776,6250,,5031,5145
OMS,5032,5128,51,61,100001,100,1,0.000776,6250,,5032,5128
OMS,5033,5119,51,60,100001,100,1,0.000776,6250,:0-960,5033,5119
OMS,5046,5057,52,53,100001,100,1,0.000776,6250,:0-960,5046,5057
OMS,5041,5155,52,63,100001,100,1,0.000776,6250,,5041,5155
OMS,5042,5138,52,62,100001,100,1,0.000776,6250,,5042,5138
OMS,5043,5129,52,61,100001,100,1,0.000776,6250,:0-960,5043,5129
OMS,5056,5067,53,54,100001,100,1,0.000776,6250,:0-960,5056,5067
OMS,5051,5165,53,64,100001,100,1,0.000776,6250,,5051,5165
OMS,5052,5148,53,63,100001,100,1,0.000776,6250,,5052,5148
OMS,5053,5139,53,62,100001,100,1,0.000776,6250,:0-960,5053,5139
OMS,5066,5077,54,55,100001,100,1,0.000776,6250,:0-960,5066,5077
OMS,5061,5175,54,65,100001,100,1,0.000776,6250,,5061,5175
OMS,5062,5158,54,64,100001,100,1,0.000776,6250,,5062,5158
OMS,5063,5149,54,63,100001,100,1,0.000776,6250,:0-960,5063,5149
OMS,5076,5087,55,56,100001,100,1,0.000776,6250,:0-960,5076,5087
OMS,5071,5185,55,66,100001,100,1,0.000776,6250,,5071,5185
OMS,5072,5168,55,65,100001,100,1,0.000776,6250,,5072,5168
OMS,5073,5159,55,64,100001,100,1,0.000776,6250,:0-960,5073,5159
OMS,5086,5097,56,57,100001,100,1,0.000776,6250,:0-960,5086,5097
OMS,5081,5195,56,67,100001,100,1,0.000776,6250,,5081,5195
OMS,5082,5178,56,66,100001,100,1,0.000776,6250,,5082,5178
OMS,5083,5169,56,65,100001,100,1,0.000776,6250,:0-960,5083,5169
OMS,5096,5107,57,58,100001,100,1,0.000776,6250,:0-960,5096,5107
OMS,5091,5205,57,68,100001,100,1,0.000776,6250,,5091,5205
OMS,5092,5188,57,67,100001,100,1,0.000776,6250,,5092,5188
OMS,5093,5179,57,66,100001,100,1,0.000776,6250,:0-960,5093,5179
OMS,5106,5117,58,59,100001,100,1,0.000776,6250,:0-960,5106,5117
OMS,5101,5215,58,69,100001,100,1,0.000776,6250,,5101,5215
OMS,5102,5198,58,68,100001,100,1,0.000776,6250,,5102,5198
OMS,5103,5189,58,67,100001,100,1,0.000776,6250,:0-960,5103,5189
OMS,5109,2021,59,1443,1,100,1,0.000776,6250,:0-964,2021,5109
OMS,5112,5208,59,69,100001,100,1,0.000776,6250,,5112,5208
OMS,5113,5199,59,68,100001,100,1,0.000776,6250,:0-960,5113,5199
OMS,5126,5137,60,61,100001,100,1,0.000776,6250,:0-960,5126,5137
OMS,5121,5235,60,71,100001,100,1,0.000776,6250,,5121,5235
OMS,5122,5218,60,70,100001,100,1,0.000776,6250,:0-960,5122,5218
OMS,5136,5147,61,62,100001,100,1,0.000776,6250,:0-960,5136,5147
OMS,5131,5245,61,72,100001,100,1,0.000776,6250,,5131,5245
OMS,5132,5228,61,71,100001,100,1,0.000776,6250,,5132,5228
OMS,5133,5219,61,70,100001,100,1,0.000776,6250,:0-960,5133,5219
OMS,5146,5157,62,63,100001,100,1,0.000776,6250,:0-960,5146,5157
OMS,5141,5255,62,73,100001,100,1,0.000776,6250,,5141,5255
OMS,5142,5238,62,72,100001,100,1,0.000776,6250,,5142,5238
OMS,5143,5229,62,71,100001,100,1,0.000776,6250,:0-960,5143,5229
OMS,5156,5167,63,64,100001,100,1,0.000776,6250,:0-960,5156,5167
OMS,5151,5265,63,74,100001,100,1,0.000776,6250,,5151,5265
OMS,5152,5248,63,73,100001,100,1,0.000776,6250,,5152,5248
OMS,5153,5239,63,72,100001,100,1,0.000776,6250,:0-960,5153,5239
OMS,5166,5177,64,65,100001,100,1,0.000776,6250,:0-960,5166,5177
OMS,5161,5275,64,75,100001,100,1,0.000776,6250,,5161,5275
OMS,5162,5258,64,74,100001,100,1,0.000776,6250,,5162,5258
OMS,5163,5249,64,73,100001,100,1,0.000776,6250,:0-960,5163,5249
OMS,5176,5187,65,66,100001,100,1,0.000776,6250,:0-960,5176,5187
OMS,5171,5285,65,76,100001,100,1,0.000776,6250,,5171,5285
OMS,5172,5268,65,75,100001,100,1,0.000776,6250,,5172,5268
OMS,5173,5259,65,74,100001,100,1,0.000776,6250,:0-960,5173,5259
OMS,5186,5197,66,67,100001,100,1,0.000776,6250,:0-960,5186,5197
OMS,5181,5295,66,77,100001,100,1,0.000776,6250,,5181,5295
OMS,5182,5278,66,76,100001,100,1,0.000776,6250,,5182,5278
OMS,5183,5269,66,75,100001,100,1,0.000776,6250,:0-960,5183,5269
OMS,5196,5207,67,68,100001,100,1,0.000776,6250,:0-960,5196,5207
OMS,5191,5305,67,78,100001,100,1,0.000776,6250,,5191,5305
OMS,5192,5288,67,77,100001,100,1,0.000776,6250,,5192,5288
OMS,5193,5279,67,76,100001,100,1,0.000776,6250,:0-960,5193,5279
OMS,5206,5217,68,69,100001,100,1,0.000776,6250,:0-960,5206,5217
OMS,5201,5315,68,79,100001,100,1,0.000776,6250,,5201,5315
OMS,5202,5298,68,78,100001,100,1,0.000776,6250,,5202,5298
OMS,5203,5289,68,77,100001,100,1,0.000776,6250,:0-960,5203,5289
OMS,5209,2121,69,1362,1,100,1,0.000776,6250,:0-964,2121,5209
OMS,5212,5308,69,79,100001,100,1,0.000776,6250,,5212,5308
OMS,5213,5299,69,78,100001,100,1,0.000776,6250,:0-960,5213,5299
OMS,5226,5237,70,71,100001,100,1,0.000776,6250,:0-960,5226,5237
OMS,5221,5335,70,81,100001,100,1,0.000776,6250,,5221,5335
OMS,5222,5318,70,80,100001,100,1,0.000776,6250,:0-960,5222,5318
OMS,5236,5247,71,72,100001,100,1,0.000776,6250,:0-960,5236,5247
OMS,5231,5345,71,82,100001,100,1,0.000776,6250,,5231,5345
OMS,5232,5328,71,81,100001,100,1,0.000776,6250,,5232,5328
OMS,5233,5319,71,80,100001,100,1,0.000776,6250,:0-960,5233,5319
OMS,5246,5257,72,73,100001,100,1,0.000776,6250,:0-960,5246,5257
OMS,5241,5355,72,83,100001,100,1,0.000776,6250,,5241,5355
OMS,5242,5338,72,82,100001,100,1,0.000776,6250,,5242,5338
OMS,5243,5329,72,81,100001,100,1,0.000776,6250,:0-960,5243,5329
OMS,5256,5267,73,74,100001,100,1,0.000776,6250,:0-960,5256,5267
OMS,5251,5365,73,84,100001,100,1,0.000776,6250,,5251,5365
OMS,5252,5348,73,83,100001,100,1,0.000776,6250,,5252,5348
OMS,5253,5339,73,82,100001,100,1,0.000776,6250,:0-960,5253,5339
OMS,5266,5277,74,75,100001,100,1,0.000776,6250,:0-960,5266,5277
OMS,5261,5375,74,85,100001,100,1,0.000776,6250,,5261,5375
OMS,5262,5358,74,84,100001,100,1,0.000776,6250,,5262,5358
OMS,5263,5349,74,83,100001,100,1,0.000776,6250,:0-960,5263,5349
OMS,5276,5287,75,76,100001,100,1,0.000776,6250,:0-960,5276,5287
OMS,5271,5385,75,86,100001,100,1,0.000776,6250,,5271,5385
OMS,5272,5368,75,85,100001,100,1,0.000776,6250,,5272,5368
OMS,5273,5359,75,84,100001,100,1,0.000776,6250,:0-960,5273,5359
OMS,5286,5297,76,77,100001,100,1,0.000776,6250,:0-960,5286,5297
OMS,5281,5395,76,87,100001,100,1,0.000776,6250,,5281,5395
OMS,5282,5378,76,86,100001,100,1,0.000776,6250,,5282,5378
OMS,5283,5369,76,85,100001,100,1,0.000776,6250,:0-960,5283,5369
OMS,5296,5307,77,78,100001,100,1,0.000776,6250,:0-960,5296,5307
OMS,5291,5405,77,88,100001,100,1,0.000776,6250,,5291,5405
OMS,5292,5388,77,87,100001,100,1,0.000776,6250,,5292,5388
OMS,5293,5379,77,86,100001,100,1,0.000776,6250,:0-960,5293,5379
OMS,5306,5317,78,79,100001,100,1,0.000776,6250,:0-960,5306,5317
OMS,5301,5415,78,89,100001,100,1,0.000776,6250,,5301,5415
OMS,5302,5398,78,88,100001,100,1,0.000776,6250,,5302,5398
OMS,5303,5389,78,87,100001,100,1,0.000776,6250,:0-960,5303,5389
OMS,5309,2221,79,1346,1,100,1,0.000776,6250,:0-964,2221,5309
OMS,5312,5408,79,89,100001,100,1,0.000776,6250,,5312,5408
OMS,5313,5399,79,88,100001,100,1,0.000776,6250,:0-960,5313,5399
OMS,5326,5337,80,81,100001,100,1,0.000776,6250,:0-960,5326,5337
OMS,5321,5435,80,91,100001,100,1,0.000776,6250,,5321,5435
OMS,5322,5418,80,90,100001,100,1,0.000776,6250,:0-960,5322,5418
OMS,5336,5347,81,82,100001,100,1,0.000776,6250,:0-960,5336,5347
OMS,5331,5445,81,92,100001,100,1,0.000776,6250,,5331,5445
OMS,5332,5428,81,91,100001,100,1,0.000776,6250,,5332,5428
OMS,5333,5419,81,90,100001,100,1,0.000776,6250,:0-960,5333,5419
OMS,5346,5357,82,83,100001,100,1,0.000776,6250,:0-960,5346,5357
OMS,5341,5455,82,93,100001,100,1,0.000776,6250,,5341,5455
OMS,5342,5438,82,92,100001,100,1,0.000776,6250,,5342,5438
OMS,5343,5429,82,91,100001,100,1,0.000776,6250,:0-960,5343,5429
OMS,5356,5367,83,84,100001,100,1,0.000776,6250,:0-960,5356,5367
OMS,5351,5465,83,94,100001,100,1,0.000776,6250,,5351,5465
OMS,5352,5448,83,93,100001,100,1,0.000776,6250,,5352,5448
OMS,5353,5439,83,92,100001,100,1,0.000776,6250,:0-960,5353,5439
OMS,5366,5377,84,85,100001,100,1,0.000776,6250,:0-960,5366,5377
OMS,5361,5475,84,95,100001,100,1,0.000776,6250,,5361,5475
OMS,5362,5458,84,94,100001,100,1,0.000776,6250,,5362,5458
OMS,5363,5449,84,93,100001,100,1,0.000776,6250,:0-960,5363,5449
OMS,5376,5387,85,86,100001,100,1,0.000776,6250,:0-960,5376,5387
OMS,5371,5485,85,96,100001,100,1,0.000776,6250,,5371,5485
OMS,5372,5468,85,95,100001,100,1,0.000776,6250,,5372,5468
OMS,5373,5459,85,94,100001,100,1,0.000776,6250,:0-960,5373,5459
OMS,5386,5397,86,87,100001,100,1,0.000776,6250,:0-960,5386,5397
OMS,5381,5495,86,97,100001,100,1,0.000776,6250,,5381,5495
OMS,5382,5478,86,96,100001,100,1,0.000776,6250,,5382,5478
OMS,5383,5469,86,95,100001,100,1,0.000776,6250,:0-960,5383,5469
OMS,5396,5407,87,88,100001,100,1,0.000776,6250,:0-960,5396,5407
OMS,5391,5505,87,98,100001,100,1,0.000776,6250,,5391,5505
OMS,5392,5488,87,97,100001,100,1,0.000776,6250,,5392,5488
OMS,5393,5479,87,96,100001,100,1,0.000776,6250,:0-960,5393,5479
OMS,5406,5417,88,89,100001,100,1,0.000776,6250,:0-960,5406,5417
OMS,5401,5515,88,99,100001,100,1,0.000776,6250,,5401,5515
OMS,5402,5498,88,98,100001,100,1,0.000776,6250,,5402,5498
OMS,5403,5489,88,97,100001,100,1,0.000776,6250,:0-960,5403,5489
OMS,5409,2321,89,1473,1,100,1,0.000776,6250,:0-964,2321,5409
OMS,5412,5508,89,99,100001,100,1,0.000776,6250,,5412,5508
OMS,5413,5499,89,98,100001,100,1,0.000776,6250,:0-960,5413,5499
OMS,5426,5437,90,91,100001,100,1,0.000776,6250,:0-960,5426,5437
OMS,5421,5535,90,101,100001,100,1,0.000776,6250,,5421,5535
OMS,5422,5518,90,100,100001,100,1,0.000776,6250,:0-960,5422,5518
OMS,5436,5447,91,92,100001,100,1,0.000776,6250,:0-960,5436,5447
OMS,5431,5545,91,102,100001,100,1,0.000776,6250,,5431,5545
OMS,5432,5528,91,101,100001,100,1,0.000776,6250,,5432,5528
OMS,5433,5519,91,100,100001,100,1,0.000776,6250,:0-960,5433,5519
OMS,5446,5457,92,93,100001,100,1,0.000776,6250,:0-960,5446,5457
OMS,5441,5555,92,103,100001,100,1,0.000776,6250,,5441,5555
OMS,5442,5538,92,102,100001,100,1,0.000776,6250,,5442,5538
OMS,5443,5529,92,101,100001,100,1,0.000776,6250,:0-960,5443,5529
OMS,5456,5467,93,94,100001,100,1,0.000776,6250,:0-960,5456,5467
OMS,5451,5565,93,104,100001,100,1,0.000776,6250,,5451,5565
OMS,5452,5548,93,103,100001,100,1,0.000776,6250,,5452,5548
OMS,5453,5539,93,102,100001,100,1,0.000776,6250,:0-960,5453,5539
OMS,5466,5477,94,95,100001,100,1,0.000776,6250,:0-960,5466,5477
OMS,5461,5575,94,105,100001,100,1,0.000776,6250,,5461,5575
OMS,5462,5558,94,104,100001,100,1,0.000776,6250,,5462,5558
OMS,5463,5549,94,103,100001,100,1,0.000776,6250,:0-960,5463,5549
OMS,5476,5487,95,96,100001,100,1,0.000776,6250,:0-960,5476,5487
OMS,5471,5585,95,106,100001,100,1,0.000776,6250,,5471,5585
OMS,5472,5568,95,105,100001,100,1,0.000776,6250,,5472,5568
